label,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder,trunk,left_ankle
lunge,177.35096075797736,176.4258633988433,171.04886551473516,174.2886386212227,,,,,84.25026355782852,
lunge,179.820922758161,179.8442967994235,172.1056149518677,173.18986398734333,,,,,82.78662093200606,
lunge,176.71986518706998,179.32257166213097,171.9915155831641,173.4859762275672,,,,,83.88806900755242,
lunge,179.98757740876255,179.21043765746296,174.5375602516597,174.96477851901096,,,,,85.10642766232768,
lunge,179.9091915639648,174.37882546583702,175.77921054690572,174.2652321888502,,,,,87.53491849053303,
lunge,179.3545207528502,167.88338583125392,175.8077941986482,178.9821516828571,,,,,88.12556806927721,
lunge,174.44044572009398,159.92387602005135,171.0324254429174,170.23511818407502,,,,,88.73400558931687,
lunge,172.58718177379734,149.97998574487465,168.95939354998987,160.36167896494638,,,,,87.7916675013387,
lunge,171.64834651046718,143.8071474533302,166.83637465024754,151.53493606131755,,,,,87.63662380518011,
lunge,170.89444762829467,143.98463962490547,164.3049524287268,146.40875917849618,,,,,87.82296654451062,
lunge,168.20702952390408,171.41933877438598,162.58920793710237,162.9055020254214,,,,,86.09914706315078,
lunge,,176.26457545515706,169.05921603725724,178.6054380691976,,,,,91.3116693282887,
lunge,178.79905944238664,177.66040603789347,169.64574204295778,177.13274745847534,,,,,94.66277056149222,
lunge,177.74403427983304,178.2905393596064,172.00485131581914,173.96466088693793,,,,,93.1228367093837,
lunge,176.63273574591184,179.06556514332675,171.62555979802013,173.92305484049106,,,,,89.72891732938976,
lunge,179.74178319754668,179.48717658547528,171.84949593081652,173.7001848949803,,,,,85.6608810515099,
lunge,176.39944291784025,177.06183913132364,174.06338134899528,172.31783438548808,,,,,86.09155707692842,
lunge,176.35566829353277,177.93233498379618,171.05932966424783,175.9648645388323,,,,,84.77163484988084,
lunge,179.0046839940317,177.20464771150074,174.66602103626656,173.95742068195827,,,,,84.11333217507995,
lunge,174.27739690122604,173.22730005677616,172.45598567985795,176.2407249935241,,,,,90.31333011360496,
lunge,173.81846381249335,172.04310145847776,171.71479074218215,177.27855275897002,,,,,94.01746687249602,
lunge,175.57347326649608,175.89759056690278,172.96954317567403,175.03099301801433,,,,,92.45273225678177,
lunge,174.82143908966043,179.79503271501136,175.36017335311033,171.51205801696386,,,,,91.21103943377882,
lunge,169.61826941263192,179.06293868227405,178.83200226289074,176.53001296363155,,,,,96.29953444077454,
lunge,178.73734381776612,177.69744058697037,170.82606859040283,177.40181459578045,,,,,88.31717365454551,
lunge,176.7508876753924,178.73015526466634,165.8608416262307,176.4769529860316,,,,,85.5848231525226,
lunge,174.16604139209085,176.04414560569856,164.75830211613598,172.06774868741525,,,,,84.62463224979632,
lunge,159.14438899871638,176.996659526152,164.683592304843,172.6926160183078,,,,,84.63695735171555,
lunge,70.76955055552328,170.03538843186186,165.0859663008078,164.95864374667548,,,,,84.27879422216479,
lunge,16.28353223997665,130.91281917874903,166.24306585646286,126.5680740146283,,,,,83.56016677574866,
lunge,15.14401022976182,99.35584214883377,166.5611451993624,95.26286378049872,,,,,83.23244503725422,
lunge,17.0889014914586,93.52214242863512,167.0538423081737,90.15622487569527,,,,,82.82754658029543,
lunge,,57.913324007809294,167.38799784478167,55.05600408845596,,,,,83.31935913024033,
lunge,,39.55665665292305,168.15285863246024,36.53200843873523,,,,,82.62053778792729,
lunge,,32.485045419221855,168.9613283520171,29.430637739697545,,,,,82.83661803197637,
lunge,,22.54028831375961,169.50161070774155,19.47893519142477,,,,,83.7995475424289,
lunge,,27.317881030933282,170.17889851834164,23.92494706273998,,,,,84.393158608256,
lunge,,30.782486827373777,169.865638742025,27.194389714636028,,,,,83.83783450817562,
lunge,,116.72322802556607,169.43816702909533,111.95386633239733,,,,,82.09608606113953,
lunge,,150.90618350104776,169.74506690124622,145.631619203908,,,,,81.24945207532224,
lunge,,169.52004937241432,170.32298306778807,163.1861609194541,,,,,80.78468898718062,
lunge,,178.13934770449933,170.74938774758368,170.76499699693858,,,,,80.50566779087822,
lunge,,176.5873596768407,175.86436437627316,169.4531886724467,,,,,80.03302429722898,
lunge,,178.03358413458636,165.4586060866233,170.77117941256267,,,,,77.98441129887478,
lunge,,175.1265061027594,178.58416539118394,175.66591727949148,,,,,86.38000558281493,
lunge,176.8138642563073,178.77243179915024,179.6981938230318,167.6612621510047,,,,,85.20657384593488,
lunge,179.91178528348337,179.26789933202568,177.635963661624,169.18058675683,,,,,85.6105848350742,
lunge,177.75411686243388,175.91857233626243,174.3788625071242,171.51901750761033,,,,,87.74424401300818,
lunge,173.26182465887626,175.33987531513972,175.0309384061785,169.51700130863213,,,,,85.98003376253146,
lunge,168.02499051083703,175.53672422284154,172.6599126234493,169.194400110157,,,,,87.89859250322854,
lunge,162.75091820101636,175.4898495908248,169.97705220653833,169.13836090870123,,,,,88.94880403590088,
lunge,162.88851849645377,170.30082128961072,167.8733428112526,176.33538499227072,,,,,92.32108564571539,
lunge,168.43307134378892,165.80425423858728,169.18669627514925,179.1202464672968,,,,,91.73229672840567,
lunge,174.2329403854078,167.13350435606586,171.97836048848444,179.3902436481897,,,,,90.59960202060415,
lunge,173.21166225736656,172.30819771162683,170.12117243624132,179.80223225482862,,,,,89.95818103788456,
lunge,173.51597464073066,177.98109835150456,169.78739828397295,178.62444211407745,,,,,88.99394299179583,
lunge,177.07244868159728,177.60590183389036,172.8641972608369,175.6207546404907,,,,,84.858834866583,
lunge,175.63504125414843,175.15334861004632,171.17088198124287,174.05329903344813,,,,,79.77763731336836,
lunge,176.56021521024806,176.43098410677854,170.17236888972096,177.74105574699507,,,,,79.53892459824972,
lunge,177.65474544002245,175.73831983979838,168.87716041225582,178.21466673505336,,,,,82.57196386384632,
lunge,176.09738211561495,172.36574053709103,164.78996929432304,177.92320326820393,,,,,88.09928622369887,
lunge,170.81663668823862,171.5191954173963,160.9174399265448,178.2996613990827,,,,,90.98541946472965,
lunge,167.18748478310738,168.76431699400032,157.83832940274854,176.6410927557883,,,,,91.46317962124888,
lunge,164.15240381689063,166.14522113646876,155.40284927449514,175.70602335553272,,,,,90.91931239851111,
lunge,140.5680752965033,28.603883032245278,132.5235399753143,176.62653488087037,,,,,85.45525595237851,
lunge,92.07692060031992,10.480389748049538,85.18652882768545,176.37293136128054,,,,,85.1499568375577,
lunge,99.51238205585771,8.886181385647177,93.38135763889362,176.0480592922778,,,,,85.78741771764466,
lunge,100.34827979141608,12.003179214977846,94.3032700002432,176.18285454773584,,,,,84.69587878082471,
lunge,93.302290184181,,87.62698653801652,176.56634829668246,,,,,84.37944278520185,
lunge,99.08482494765856,,93.5673147583701,176.6110198134504,,,,,84.70872096799336,
lunge,104.96591120201256,,99.1225026826873,178.02826877445727,,,,,84.14750431441009,
lunge,112.29082721087286,,106.3903056043425,178.17463067609617,,,,,84.48861102710076,
lunge,121.74629512786055,,115.90270514006677,178.41622446864002,,,,,84.43649868100191,
lunge,137.73541035407766,,132.12342853509267,179.19563518284443,,,,,84.85854088985904,
lunge,149.3084978135415,,143.57315680036132,178.57907855025036,,,,,85.18284076714649,
lunge,160.13326415853473,,154.64724095483535,178.02331032148803,,,,,84.97287993418051,
lunge,170.2119115998928,,164.2703742056655,176.9617199193635,,,,,83.37547266353104,
lunge,173.6384343327089,,168.2058371462158,175.0582402569935,,,,,84.15763941599086,
lunge,178.25202162793514,,171.41110209094074,173.16039655613278,,,,,81.89710033787127,
lunge,177.0345117581696,174.64106289923055,169.85271861937906,173.1739974345114,,,,,78.73664054267358,
lunge,177.21884033423575,172.77143239653464,166.36599295416443,173.34918220541462,,,,,75.3831295856403,
lunge,179.84729191323595,168.92482359193167,165.34502978719448,176.12650010842543,,,,,74.32788778192781,
lunge,178.61910267583445,172.79385874513403,167.3441658947145,177.524385130548,,,,,75.8568732335732,
lunge,175.42939227953192,174.32147222916464,169.49450149818853,176.7764475000741,,,,,77.17098371550145,
lunge,176.5991264986689,174.88352170642852,172.76456941960427,174.26767110543557,,,,,79.63303308526176,
lunge,178.3933742374509,179.1414507783485,173.29300178947437,173.6929554107651,,,,,80.59716465280825,
lunge,179.67366156298277,177.73461717239906,173.38055920065958,173.41288533472522,,,,,84.12445947352609,
lunge,176.55419757621527,176.28417519095154,171.81005790460915,175.21173594738627,,,,,86.00992203113185,
lunge,171.01323589498122,176.04534644180973,169.63082825989056,174.45952071750258,,,,,86.69777794940731,
lunge,174.91388025931914,177.13879706082992,171.95126473822955,171.6212607555927,,,,,87.90376457285358,
lunge,177.60321347446632,179.39675099231965,175.19955068992985,168.3570624343672,,,,,86.95641104534366,
lunge,178.65703187392901,178.0509610967505,174.9877907020726,167.2718790755069,,,,,83.95120976632147,
lunge,178.9466577371273,178.31748471359433,173.43948411741425,170.72087847892178,,,,,83.63593010995103,
lunge,178.65982252613884,177.25049311277292,171.44992553300116,173.7482632697489,,,,,86.12489565519802,
lunge,173.89171430672204,176.88211787084467,168.83056937763504,175.69665447034106,,,,,88.68631445633947,
lunge,177.069904697104,179.32065426009368,166.7790252657768,178.59316175273398,,,,,88.2970024680882,
lunge,9.84219687448054,174.79024208175267,167.6959751078904,172.58504943435855,,,,,87.3008282547785,
lunge,11.812741004220841,171.25565152058772,167.1322833330133,168.55282111957825,,,,,85.65841348169684,
lunge,11.451662030139879,163.8722863117255,169.18599317230652,161.65452809767572,,,,,85.73105453686959,
lunge,16.44379991781411,154.9197761007358,169.29273763729512,153.62109560558855,,,,,86.15276783182748,
lunge,,166.16203359306954,170.25402208855112,164.31606004014205,,,,,86.0394541536736,
lunge,174.13775737861775,169.6820567559949,170.5108960132975,167.80333806709493,,,,,85.0918893236671,
lunge,168.22449576733663,171.82339937430865,172.3738138541825,170.38175793078523,,,,,85.20816724082565,
lunge,170.66325259544635,175.72542203749822,173.44338169121247,172.02612669804046,,,,,84.26618477219985,
lunge,172.79362965704672,178.8014468035483,174.6678802162604,172.9100286437671,,,,,85.80245754470555,
lunge,175.90403309324643,179.28519496435433,173.53829610140855,173.5037859311403,,,,,86.16308898824045,
lunge,176.66644640280776,179.33520227617566,176.5092919177792,170.69014507503337,,,,,81.8654070222366,
lunge,179.7634567920641,178.63933025451317,174.95354005850518,168.66048457147758,,,,,82.77340772213445,
lunge,175.6033138267704,178.76059204324585,173.11789536310206,167.9683694353315,,,,,84.86364769608751,
lunge,174.88543289917854,178.08857707338137,172.9524238582391,171.07475440794718,,,,,85.60513438007695,
lunge,176.21156954752334,177.5782384055087,171.31588579800254,176.2006471858216,,,,,85.15876177570418,
lunge,177.42000270422415,178.67513237848797,170.39964767229714,179.908539812714,,,,,83.97960309658005,
lunge,178.98455160672611,177.45784440081306,172.29632984129637,176.776791743929,,,,,83.7645893798446,
lunge,178.78143895978056,173.6182525832331,171.46438110088894,173.42004626609202,,,,,81.6730608924896,
lunge,175.19708551779885,176.2541248903556,170.61947940548262,177.20952063064306,,,,,81.8492780745536,
lunge,178.33872237065128,172.3996456121474,170.49545083846735,176.52164653677607,,,,,85.27843819818992,
lunge,177.34847588603543,167.35208051184765,167.61867935549628,176.1314988859747,,,,,87.2023791532925,
lunge,175.60342940638395,41.75572771137936,166.82592267672572,175.67651246302688,,,,,87.18204806786386,
lunge,168.99906924342875,10.519284606103428,161.11993757552074,175.80712895996513,,,,,86.36492814112056,
lunge,156.18146507989272,7.415159417013685,149.03731354106165,176.00866068266518,,,,,85.40816435451667,
lunge,143.1110161261722,5.907472219157637,136.6918878142073,175.46651114987586,,,,,85.7299777777916,
lunge,149.0699263323272,10.891251828146897,142.71430974509022,174.73530389346533,,,,,85.9977921098359,
lunge,142.18513558613827,9.129558436082428,136.14891355980916,175.01247625824678,,,,,85.21818377343564,
lunge,144.87546816465806,9.3316952862935,139.6771872110262,174.765334647389,,,,,84.47989452831506,
lunge,154.3608796647267,,149.5743540647635,174.58185417353948,,,,,85.35516557167388,
lunge,171.79247205799007,,167.48386580736653,173.24453853784112,,,,,80.09575193300189,
lunge,177.82202005662202,,174.15726643319837,172.64628523938075,,,,,78.24878564597546,
lunge,179.5518723612397,,177.29426194123835,171.58486255343098,,,,,78.76228447678461,
lunge,177.79704188632323,174.80922619701582,174.28100693629344,170.9981706942001,,,,,77.59708847528067,
lunge,179.56917889884647,175.92703016045755,170.076309755257,174.47819692909738,,,,,77.86823447870519,
lunge,178.1556354805679,176.39387799707103,166.9914846453863,176.72800567631276,,,,,78.89468769519112,
lunge,174.9511709288877,175.27056222763437,165.90294117764714,175.26172649711984,,,,,80.80532915163613,
lunge,176.99446147056838,177.0831789381392,171.90583781053283,175.14232441494295,,,,,83.36907224957673,
lunge,179.5808931673793,176.69737201620734,174.9961592821111,175.95261731012627,,,,,82.91133823239475,
lunge,179.6470398959197,175.41951964880596,175.68041988286322,175.30605149698022,,,,,87.51877704938387,
lunge,178.09339154483115,179.6771372981383,176.51518022643847,171.37818653745538,,,,,84.52346583226614,
lunge,179.44815403088023,175.74849312864305,176.02350753150367,167.37942672928747,,,,,82.68305668799236,
lunge,174.80852082935291,174.65692965632576,177.79013632580157,166.39156138665345,,,,,80.17200782290648,
lunge,167.95576385178174,177.12727246909378,179.579071061666,169.4291202877708,,,,,81.15471203175655,
lunge,102.49124276691828,170.61559841464498,177.18261547256424,164.66007934896692,,,,,82.18606541201288,
lunge,10.579748297855213,172.63197016992723,173.84564140759673,166.20896062693743,,,,,82.81713803938591,
lunge,25.4085183792072,172.67409275527106,173.4331872889023,166.47076978968258,,,,,83.74783785239529,
lunge,17.740051482803853,164.96272638182347,173.03647088958283,159.20301417456776,,,,,83.66285633473723,
lunge,17.15943800436854,160.727546904523,172.5231426444585,155.44667061387122,,,,,84.22281469207473,
lunge,31.46678538017791,167.52841004181295,172.2818378871832,162.51611739573954,,,,,83.03770567804341,
lunge,145.9059154718218,168.15096114465138,172.9701649835372,163.8852153402612,,,,,82.55594208130734,
lunge,179.88013937669606,173.09443086765754,173.4550559374653,168.83499281141107,,,,,81.20640608686497,
lunge,176.49372338324537,179.28308920513766,173.4615200662108,174.4137259859527,,,,,82.42647435816234,
lunge,179.51034964751395,176.7399682590565,175.73048765243595,173.07267347282516,,,,,84.22070148221849,
lunge,177.15531516949898,176.88427618600295,173.40866697690313,172.0767202629814,,,,,89.11883561492245,
lunge,174.8684950909263,171.95822884485435,170.86845883025396,176.9918434810935,,,,,92.09870149027812,
lunge,173.58571217232324,178.59276148763445,168.99254918011127,176.0326009381269,,,,,89.95243677583004,
lunge,174.86288247572136,175.5078985893562,169.59406790599914,173.40254740378296,,,,,88.25783487619513,
lunge,176.9831806308133,171.81273675310547,170.17939190676708,171.66151794457912,,,,,88.40563198200279,
lunge,176.41722848922373,170.43902588800816,169.91624132613535,172.78165599046028,,,,,85.32680996073198,
lunge,175.27186378720342,174.5894776702781,169.92674411768974,177.5025798224557,,,,,86.80640959950168,
lunge,174.58331330638816,175.53882878185684,170.50700480300947,178.63479463739807,,,,,83.64867311201203,
lunge,177.759204721569,173.9199898849324,169.3495582292707,177.95280683877388,,,,,83.9494128367264,
lunge,179.52895819993208,171.2562285746453,168.62692233567887,177.35014775277367,,,,,87.68226372255,
lunge,176.172712096314,169.3371945943367,164.7250266885955,176.4278705271039,,,,,90.08120867102244,
lunge,164.21912605334458,167.57424103412498,154.71995106275932,176.75724562101286,,,,,91.7414761753409,
lunge,146.69720099791147,53.50636458130136,138.54316685125264,177.0282963935531,,,,,91.69358718500771,
lunge,112.27264145212345,3.2210942614900557,104.219081096047,177.4522509146438,,,,,91.77141655816618,
lunge,94.87206715053583,6.514315582633725,88.05461009046114,177.4794777866438,,,,,90.95980679271076,
lunge,76.1511111969596,5.519232854240433,69.7425940382778,178.13421543306268,,,,,91.71752366429696,
lunge,82.57744737250725,6.393289193084667,75.9610622867223,178.49084847115134,,,,,92.0527970742039,
lunge,83.91385242879949,2.4099908606398084,76.76048899683823,178.62132763830846,,,,,89.99861259461557,
lunge,109.12690900707516,3.279081621836442,102.02159888773919,178.0581762187912,,,,,89.25836224927278,
lunge,140.67796070998108,,135.77048597736402,177.2384946603525,,,,,87.97443613917953,
lunge,163.9971070890808,,158.2620748496495,176.57853735814933,,,,,89.46613752376358,
lunge,169.0723867242135,,162.21180566008744,175.70317361100385,,,,,87.63739557047319,
lunge,172.77810030835565,,165.46106699458102,173.63206738483703,,,,,87.49730442297182,
lunge,177.78107811070183,175.30380472271338,168.01607845590513,173.9912024625192,,,,,85.9303032084905,
lunge,176.59304188525778,173.86483774305157,171.63038489350552,172.38167198656353,,,,,84.36429935261256,
lunge,172.89438425602307,174.38697684254117,174.79943322152874,172.59700632673713,,,,,84.6467423880844,
lunge,175.9548643860387,174.59049946444492,171.77452389101848,173.24860994366287,,,,,82.42160334474282,
lunge,179.24836762030992,173.96533044919934,173.93405331698884,171.93144726389878,,,,,80.98968648341793,
lunge,176.1542786823385,174.3113338435879,174.8394721247125,171.12695687775366,,,,,77.00791974176313,
lunge,179.6294072349201,177.85704044825923,175.3072499936294,170.94742762738707,,,,,74.7781228651351,
lunge,177.67450774353907,177.80888487935732,175.38918585998806,172.90072207655882,,,,,79.75886029669695,
lunge,173.67231140713815,175.91325541594549,173.906748855697,173.72219208033349,,,,,82.78202557102148,
lunge,168.76488258553553,174.68237583952418,172.1444812602236,173.28226144819527,,,,,82.29926955074777,
lunge,160.48918393282383,173.1738484564855,170.86363818205993,175.4467092473501,,,,,84.18916891038195,
lunge,155.1922507807486,173.77151087831197,171.04698033567684,175.4197725161836,,,,,83.67013698143718,
lunge,144.69024474688595,175.1208823538906,170.96147568292088,174.9755304309422,,,,,83.3913470606733,
lunge,47.428704861991264,175.29546837249126,171.08953861038157,176.3215617401338,,,,,82.74703401260756,
lunge,63.35389211746023,142.04064346893324,170.67057497998886,135.31976519006736,,,,,82.67504718171018,
lunge,17.056190356136778,22.85379841210642,172.53710685001184,16.15266096633418,,,,,83.24942360363286,
lunge,20.421893163779085,86.35080012585267,172.65701517270614,80.51479394804808,,,,,84.05177763308664,
lunge,56.61145630227637,149.4248327328438,172.07933955727813,144.04790641588315,,,,,84.6545380528188,
lunge,159.65732741324302,169.8636722670969,173.7933189994175,164.84367996460244,,,,,84.1928220022915,
lunge,178.74787184176495,172.2994572575272,176.0722775711898,167.60597304044862,,,,,86.68241139306294,
lunge,178.6506998169775,175.45524335719693,173.3098840454193,170.58851972151896,,,,,85.08345576813244,
lunge,174.511910566407,179.6025585904221,170.6734127632329,173.19979328662652,,,,,84.46001093510016,
lunge,172.0828525691098,176.3833724102182,170.076462043431,176.48463427990814,,,,,85.54236527312469,
lunge,172.02351179697925,178.81896108716361,171.13177728969143,173.23971697851033,,,,,86.8811776894846,
lunge,174.51432252771664,178.27866726886833,171.12199539781673,174.86492984349243,,,,,91.01772989129601,
lunge,175.87072629053148,179.23079424211258,171.48193510997618,174.84651784432802,,,,,87.95904808947037,
lunge,176.33079054611756,175.586888784714,171.5250482861582,174.88562891274177,,,,,85.42480289378368,
lunge,178.3190596447363,179.8780788971749,170.478140662852,176.52396094250574,,,,,86.68168351870906,
lunge,179.5629285474138,15.73661819025948,171.9125956206512,175.41513162145853,,,,,84.90118130222348,
lunge,179.92736772230043,3.1820681533535877,172.92414483398204,174.47255402943097,,,,,84.54202025777691,
lunge,177.37555157164888,5.48659770568536,176.31413278777825,173.85875776840382,,,,,82.59395693454532,
lunge,179.68782875820588,,173.08076140178295,173.0659342141229,,,,,86.81389913295963,
lunge,173.84035086405083,,177.89635432170726,173.34273040964652,,,,,87.40419359982876,
lunge,174.78352223660934,174.63235494798258,172.65462250563007,174.86777368394908,,,,,83.3850266400906,
lunge,178.9067181348153,175.36935156422348,171.34581159294802,175.47722002188772,,,,,79.73466075977892,
lunge,177.75737408199723,175.06789280308442,174.25586868554905,170.94330882919525,,,,,77.07680598665438,
lunge,178.1298051093011,178.16469033502426,174.4197757469888,173.00587092333657,,,,,75.37758866732968,
lunge,177.86844992515597,179.87046063366518,173.82104025294223,173.9757443624602,,,,,79.15233847022313,
lunge,179.09695841263397,177.867890151192,174.03322713062386,174.44493627523914,,,,,82.93703557818947,
lunge,177.57879640237036,177.55779745212004,174.41750121200536,174.83385552896655,,,,,87.51618386047022,
lunge,174.38922151654603,174.56927182443428,173.1725614557657,177.49051004205728,,,,,84.6647034023582,
lunge,177.74658644969892,172.1497731587739,172.67688098313448,179.80693587809427,,,,,86.39158871547329,
lunge,175.7301580712358,164.77522258646403,171.57795862903973,172.21392021117467,,,,,86.93280781169554,
lunge,173.79309621173277,156.82003445772344,175.98344456770172,163.6582274975147,,,,,85.85417096427878,
lunge,174.42724733938607,144.4039178351658,176.05896128407042,151.03958659146826,,,,,84.83409119267213,
lunge,179.1023318704216,131.79691109175226,175.7643455154161,138.40021907439674,,,,,83.4574086193861,
lunge,7.34567925159001,137.90278779276667,175.79829717629332,143.9163581781909,,,,,83.08301138974461,
lunge,10.486992530645987,169.48933671132133,175.32463585779624,175.2928500780822,,,,,83.54585625049553,
lunge,29.425365072085338,167.86993478207717,175.0650521280182,173.44564127268913,,,,,84.35625106666497,
lunge,93.74502349704797,172.606808673614,172.81646544985242,177.23224270468694,,,,,83.89163957575596,
lunge,152.4823320110103,173.36468461518237,171.8118902444541,177.90304359803602,,,,,85.11139126679213,
lunge,178.43265830659362,177.0223541309493,173.99843252514592,178.06162151033018,,,,,84.45852033823594,
lunge,174.27252180376027,175.18021412586407,174.0451873576433,177.4929300507645,,,,,83.84539574236348,
lunge,176.36350456659758,174.81727849630326,173.99557607487307,174.9849446630719,,,,,87.92191261536728,
