label,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder,trunk,left_ankle
squat,178.49277693822484,,130.4428890892561,140.9595966318509,,,,,54.52457659955687,
squat,173.15233303835217,,171.99717994447585,136.7461439957228,,,,,124.4541020952006,
squat,172.7699642380848,,146.04731302844482,142.69002509528315,,,,,96.79480776719491,
squat,165.92465949292603,,138.37250017330544,171.5304407902996,,,,,86.59790303070984,
squat,147.6449482116585,,158.94572788489103,167.47059159068377,,,,,96.58653379325767,
squat,,106.48196060896522,176.40953931869592,171.30612872518572,,,,,77.80846708075875,
squat,,121.1175249570644,140.86889975930384,167.92040601458447,,,,,72.32766970962486,
squat,,166.5667725085151,136.4517994490285,172.90722704246073,,,,,81.28906120392938,
squat,145.7386657670182,177.53605360243162,141.8870595343906,164.72343360918254,,,,,82.01911533591898,
squat,172.9313131025454,164.20174235668122,145.9811875275652,151.05294543791373,,,,,79.2544316701541,
squat,173.6116945678112,166.43303682046388,146.62034505353114,158.07513047337446,,,,,63.43770879522259,
squat,176.66325504344684,171.0306574651177,148.05564745776425,162.40901980888614,,,,,62.698425058383506,
squat,179.99791299856417,177.52824711149,154.89607575976535,172.46741072825324,,,,,64.28952069587756,
squat,179.71586374492057,178.667356713437,156.0928898324907,168.38926551198088,,,,,64.87010705453814,
squat,179.51010392963414,176.63029132073854,156.60319225033916,164.3357804597693,,,,,64.86824228217586,157.2968479735475
squat,179.42620995800272,175.82458721321603,158.1821321482394,158.3460770938109,,,,,67.64944972906915,164.1656309318136
squat,179.69504388960283,174.47886310405735,159.35926306239458,158.35837193247997,,,,,68.24423198400329,166.12128657005843
squat,176.85685503395013,172.46222112935337,159.06784147523697,155.21238173092544,,,,,69.56183785286191,163.35623330296826
squat,138.56757506565677,143.8758754176124,142.17572653977535,154.63931452035163,,,,,69.41851783066153,139.99794441226854
squat,99.94334969601812,176.9425311253364,126.39722999406052,148.77508083331503,,,,,81.56823215098295,139.15369150323565
